=== [Causal Discovery] Fold 3 (3/5) ===
Step: load extraction data
Loading extraction data from: outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align_observable_state/3/alignment_results.csv
Step: prepare ground-truth data
Running sample_150__baseline_150
Saved metadata to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align_observable_state/3/metadata.json
  10. Wrong orientation: 10 --- 13 (DAG: directed_ij, PAG: bidirected)
Found 6 partial orientation differences:
  1. Partial orientation: 0 --- 6 (DAG: directed_ij, PAG: partial_ij)
  2. Partial orientation: 0 --- 11 (DAG: directed_ij, PAG: partial_ij)
  3. Partial orientation: 2 --- 8 (DAG: directed_ij, PAG: partial_ij)
  4. Partial orientation: 3 --- 8 (DAG: directed_ij, PAG: partial_ij)
  5. Partial orientation: 5 --- 13 (DAG: directed_ij, PAG: partial_ij)
  6. Partial orientation: 6 --- 11 (DAG: directed_ij, PAG: partial_ij)
Saved edge comparison details to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align_observable_state/3/edge_comparison.txt
Found 15 differences:
  1. Extra: 0 --- 4 (PAG: bidirected)
  2. Wrong orientation: 0 --- 6 (DAG: directed_ij, PAG: bidirected)
  3. Missing: 0 --- 11 (DAG: directed_ij)
  4. Missing: 2 --- 8 (DAG: directed_ij)
  5. Missing: 3 --- 8 (DAG: directed_ij)
  6. Missing: 3 --- 9 (DAG: directed_ij)
  7. Missing: 4 --- 10 (DAG: directed_ij)
  8. Missing: 5 --- 10 (DAG: directed_ij)
  9. Wrong orientation: 6 --- 7 (DAG: directed_ij, PAG: bidirected)
  10. Wrong orientation: 6 --- 11 (DAG: directed_ij, PAG: bidirected)
  11. Wrong orientation: 7 --- 8 (DAG: directed_ij, PAG: bidirected)
  12. Wrong orientation: 8 --- 9 (DAG: directed_ij, PAG: bidirected)
  13. Wrong orientation: 8 --- 12 (DAG: directed_ij, PAG: bidirected)
  14. Wrong orientation: 9 --- 10 (DAG: directed_ij, PAG: bidirected)
  15. Missing: 10 --- 13 (DAG: directed_ij)
Found 4 partial orientation differences:
  1. Partial orientation: 1 --- 6 (DAG: directed_ij, PAG: partial_ij)
  2. Partial orientation: 1 --- 7 (DAG: directed_ij, PAG: partial_ij)
  3. Partial orientation: 3 --- 12 (DAG: directed_ij, PAG: partial_ij)
  4. Partial orientation: 5 --- 13 (DAG: directed_ij, PAG: partial_ij)
Saved baseline edge comparison details to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align_observable_state/3/edge_comparison_baseline.txt
Found 10 differences:
  1. Missing: 0 --- 4 (Reference PAG: bidirected)
  2. Extra: 0 --- 11 (PAG: partial_ij)
  3. Missing: 1 --- 6 (Reference PAG: partial_ij)
  4. Missing: 1 --- 7 (Reference PAG: partial_ij)
  5. Extra: 2 --- 8 (PAG: partial_ij)
  6. Extra: 3 --- 8 (PAG: partial_ij)
  7. Extra: 3 --- 9 (PAG: bidirected)
  8. Wrong orientation: 6 --- 7 (Reference PAG: bidirected, PAG: directed_ij)
